cislo_smlouvy,cislo_objednavky,dodavatel,ico,cislo_faktury,datum_vystaveni,datum_prijeti,datum_splatnosti,datum_uhrady,celkova_castka,castka_polozky,mena,ucel_platby,polozka_rozpoctu,nazev_plozky_rozpoctu,kapitola,nazev_kapitoly
,20/O0024,"INTERNET CZ, a.s.",26043319,15283563,2019-12-29,2020-01-02,2020-01-12,,290.4,290.4,CZK,prodloužení domény sepno.cz,5168,Zprac.dat a služby související s inf.a komun.,315,Ministerstvo životního prostředí
,,FRACTAL s.r.o.,63979578,211919216,2019-12-31,2020-01-02,2020-01-30,,3553.0,3553.0,CZK,letenka Slavík 12/2019,5173,Cestovné (tuzemské i zahraniční),315,Ministerstvo životního prostředí
,20/O0010,ČESKÝ ROZHLAS,45245053,8861165808,2020-01-03,2020-01-03,2020-01-10,,135.0,135.0,CZK,580/rozhlasový poplatek - I/IV 2020,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
110531,,"innogy Energo, s.r.o.",25115171,902000163,2020-01-03,2020-01-03,2020-01-24,,1955.7,1955.7,CZK,zemní plyn 12/2019,5156,Pohonné hmoty a maziva,315,Ministerstvo životního prostředí
,20/O0011,ČESKÁ TELEVIZE,00027383,888025641,2020-01-03,2020-01-03,2020-01-10,,405.0,405.0,CZK,580/televizní poplatek -  I/IV 2020,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
920001/3,,CCS Česká společnost pro platební karty s.r.o.,27916693,1439266225,2019-12-31,2020-01-03,2020-01-21,,187803.8,104082.83,CZK,CCS karty 12/2019,5156,Pohonné hmoty a maziva,315,Ministerstvo životního prostředí
920001/3,,CCS Česká společnost pro platební karty s.r.o.,27916693,2427366225,2019-12-31,2020-01-03,2020-01-21,,1950.36,4.36,CZK,CCS karty 12/2019 PHM Malsemuschel ATCZ 37,5169,Ostatní služby  -/ČR RAK/Perlorod,315,Ministerstvo životního prostředí
,20/O0004,ČESKÝ ROZHLAS,45245053,8861219719,2020-01-03,2020-01-03,2020-01-14,,1080.0,1080.0,CZK,530/rozhlas. poplatky 1.Q/2020,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
150054,,S&T CZ s.r.o.,44846029,9061080243,2020-01-03,2020-01-03,2020-01-31,,301290.0,301290.0,CZK,Podpora ESS AthenA 1.7. - 31.12. 2019,5168,Zprac dat a služby související s inf.a komun/MTZ,315,Ministerstvo životního prostředí
,20/O0025,"Nakladatelství Sagit, a.s.",27776981,630900655,2019-12-29,2020-01-03,2020-01-18,,3400.1,3400.1,CZK,On-line přístup do Účetního průvodce MáDáti,5168,Zprac.dat a služby související s inf.a komun.,315,Ministerstvo životního prostředí
,,FRACTAL s.r.o.,63979578,212000079,2020-01-03,2020-01-06,2020-02-02,,1939.0,1939.0,CZK,letenka Jiráková,5173,Cestovné (tuzemské i zahraniční),315,Ministerstvo životního prostředí
,,OK-TOURS a.s.,00563391,1202900021,2020-01-03,2020-01-06,2020-01-24,,4299.0,4299.0,CZK,letenka Kolesníková,5173,Cestovné (tuzemské i zahraniční),315,Ministerstvo životního prostředí
050002,,S.ICZ a.s.,26482444,90081292,2020-01-02,2020-01-06,2020-01-16,,8470.0,8470.0,CZK,Podpora IS EU Extranet 12/2019,5168,Zprac.dat a služby související s inf.a komun.,315,Ministerstvo životního prostředí
170229,,BusinessCom a.s.,27426653,20193563,2019-12-31,2020-01-06,2020-01-30,,27225.0,27225.0,CZK,Provoz IP komunikačního syst. MŽP 4Q/2019,5168,Zprac.dat a služby související s inf.a komun.,315,Ministerstvo životního prostředí
180198,,T-Mobile Czech Republic a.s.,64949681,9654225793,2020-01-01,2020-01-06,2020-01-31,,20923.74,3138.57,CZK,mobilní služby 12/2019,5162,Služby telekomunikací a radiokom.TA OPŽP/SR,315,Ministerstvo životního prostředí
,19/O0584,Walstead Moraviapress s.r.o.,00543411,50546253,2019-12-31,2020-01-06,2020-01-21,,1700.0,1700.0,CZK,DBR k DOZAL č. 100/2019 Sb.zákonů ČR,5909,Ostatní neinvestiční výdaje jinde nezařazené,315,Ministerstvo životního prostředí
,,FRACTAL s.r.o.,63979578,212000080,2020-01-03,2020-01-06,2020-02-02,,1939.0,1939.0,CZK,letenka Slavíková,5173,Cestovné (tuzemské i zahraniční),315,Ministerstvo životního prostředí
160238,,"BRAMLEY, s.r.o.",26306735,19010677,2019-12-31,2020-01-02,2020-01-20,,83813.0,52480.0,CZK,560/nájemné kancel. prostor a služby 12/2019,5164,Nájemné,315,Ministerstvo životního prostředí
,20/O0012,ČESKÝ ROZHLAS,45245053,8861237495,2020-01-06,2020-01-06,2020-01-07,,1620.0,1620.0,CZK,570/roční rozhlasový poplatek za 3 rádia,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
,20/O0009,ČESKÝ ROZHLAS,45245053,8870000931,2020-01-07,2020-01-07,2020-01-08,,1080.0,1080.0,CZK,550/rozhlas. poplatky r. 2020 (2x),5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
060002,,IVACOM spol. s r. o.,47150831,1191996,2020-01-07,2020-01-06,2020-01-21,,6342.82,6342.82,CZK,580/úklid kanceláří - prosinec 2019,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
990002,,Sodexo Pass Česká republika a.s.,61860476,201002531,2020-01-07,2020-01-07,2020-01-14,,48676.39,48000.0,CZK,580/stravenky 2020 - 600 ks,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
990002,,Sodexo Pass Česká republika a.s.,61860476,201002531,2020-01-07,2020-01-07,2020-01-14,,48676.39,676.39,CZK,580/stravenky 2020 - 600 ks,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
190263,,"Česká tisková kancelář, povolená zkratka ČTK",47115068,312010048,2020-01-03,2020-01-07,2020-01-17,,11044.88,11044.88,CZK,Výběr z Headline servisu ČTK 1/2020,5042,odměny za užití PC programů,315,Ministerstvo životního prostředí
190139,,Technická univerzita v Liberci,46747885,220192244,2019-12-31,2020-01-07,2020-01-17,,145200.0,145200.0,CZK,Analýza - meření NOx 12/2019,5166,"Konzultační, poradenské a právní služby",315,Ministerstvo životního prostředí
170359,,"G4S Secure Solutions (CZ), a.s.",00175439,111901451,2020-01-07,2020-01-07,2020-02-06,,294967.7,294967.7,CZK,ostraha  MŽP12/2019,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
170359,,"G4S Secure Solutions (CZ), a.s.",00175439,111901452,2020-01-07,2020-01-07,2020-02-06,,5082.0,5082.0,CZK,doprovody 12/2019,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
,,FRACTAL s.r.o.,63979578,212000221,2020-01-07,2020-01-07,2020-02-06,,3795.0,3795.0,CZK,letenka Doubková,5173,Cestovné (tuzemské i zahraniční),315,Ministerstvo životního prostředí
990007,,Pražská teplárenská a.s.,45273600,6745201,2020-01-08,2020-01-08,2020-01-09,,188800.0,188800.0,CZK,Záloh. platba zálohy na dodávku tepl. 2020,5152,Teplo,315,Ministerstvo životního prostředí
180198,,T-Mobile Czech Republic a.s.,64949681,9155110278,2020-01-01,2020-01-08,2020-01-31,,1949.67,1949.67,CZK,mobilní služby 12/2019 pro NZÚ,5162,Služby telekomunikací a radiokomunikací - NZÚ,315,Ministerstvo životního prostředí
,,Zázvorková Karolína - expert EK,,4092,2020-01-08,2020-01-08,2020-01-08,,129851.83,129851.83,CZK,260/zvýšené životní náklady/náhrada EXP04-01,5197,Náhrady zvýš. život. nákladů zahraničí Zázvorková,315,Ministerstvo životního prostředí
,,Chovancová Světlana,,4296,2020-01-08,2020-01-08,2020-01-08,,125119.59,125119.59,CZK,260/zvýšené životní náklady/náhrada EXP06-01,5197,Náhrady zvýš. náklad. spoj. s výk.fce v zahr/Chov,315,Ministerstvo životního prostředí
,,McAndrew Marcela,,3353,2020-01-08,2020-01-08,2020-01-08,,111766.56,111766.56,CZK,260/zvýšené životní náklady/náhrada EXP07-01,5197,Náhrady zvýš. náklad. spoj. s výk.fce v zahr/McAnd,315,Ministerstvo životního prostředí
160238,,"BRAMLEY, s.r.o.",26306735,19010677,2019-12-31,2020-01-02,2020-01-20,,83813.0,811.0,CZK,560/nájemné kancel. prostor a služby 12/2019,5151,Studená voda,315,Ministerstvo životního prostředí
160238,,"BRAMLEY, s.r.o.",26306735,19010677,2019-12-31,2020-01-02,2020-01-20,,83813.0,5195.0,CZK,560/nájemné kancel. prostor a služby 12/2019,5152,Teplo,315,Ministerstvo životního prostředí
160238,,"BRAMLEY, s.r.o.",26306735,19010677,2019-12-31,2020-01-02,2020-01-20,,83813.0,6292.0,CZK,560/nájemné kancel. prostor a služby 12/2019,5154,Elektrická energie,315,Ministerstvo životního prostředí
160238,,"BRAMLEY, s.r.o.",26306735,19010677,2019-12-31,2020-01-02,2020-01-20,,83813.0,480.0,CZK,560/nájemné kancel. prostor a služby 12/2019,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
160238,,"BRAMLEY, s.r.o.",26306735,19010677,2019-12-31,2020-01-02,2020-01-20,,83813.0,6238.0,CZK,560/nájemné kancel. prostor a služby 12/2019,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
160238,,"BRAMLEY, s.r.o.",26306735,19010677,2019-12-31,2020-01-02,2020-01-20,,83813.0,3813.0,CZK,560/nájemné kancel. prostor a služby 12/2019,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
160238,,"BRAMLEY, s.r.o.",26306735,19010677,2019-12-31,2020-01-02,2020-01-20,,83813.0,2586.0,CZK,560/nájemné kancel. prostor a služby 12/2019,5171,Opravy a udržování,315,Ministerstvo životního prostředí
160238,,"BRAMLEY, s.r.o.",26306735,19010677,2019-12-31,2020-01-02,2020-01-20,,83813.0,773.0,CZK,560/nájemné kancel. prostor a služby 12/2019,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
160238,,"BRAMLEY, s.r.o.",26306735,19010677,2019-12-31,2020-01-02,2020-01-20,,83813.0,5145.0,CZK,560/nájemné kancel. prostor a služby 12/2019,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
,,FRACTAL s.r.o.,63979578,212000278,2020-01-08,2020-01-08,2020-01-07,,1935.0,1935.0,CZK,letenka Volek,5173,Cestovné (tuzemské i zahraniční),315,Ministerstvo životního prostředí
,,FRACTAL s.r.o.,63979578,212000279,2020-01-08,2020-01-08,2020-02-07,,3921.0,3921.0,CZK,letenka Růžičková,5173,Cestovné (tuzemské i zahraniční),315,Ministerstvo životního prostředí
,,FRACTAL s.r.o.,63979578,212000280,2020-01-08,2020-01-08,2020-02-07,,3286.0,3286.0,CZK,letenka Brojáč,5173,Cestovné (tuzemské i zahraniční),315,Ministerstvo životního prostředí
,20/O0015,ČESKÁ TELEVIZE,00027383,3420100713,2020-01-09,2020-01-09,2020-01-10,,405.0,405.0,CZK,510/Televizní poplatky na I. čtvrtletí 2020,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
,20/O0016,ČESKÝ ROZHLAS,45245053,8861319907,2020-01-09,2020-01-09,2020-01-10,,810.0,810.0,CZK,510/Rozhlasové poplatky na I. čtvrtletí 2020,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
,,"JUDr. Pavel Tomek, advokát",61792977,1093414,2020-01-09,2020-01-09,2020-01-20,,18729.0,18729.0,CZK,530/náhrada nákladů soud. řízení JUDr. Tomek,5192,Poskytnuté náhrady,315,Ministerstvo životního prostředí
020005,,SUCHÁNEK Rostislav,,9,2020-01-09,2020-01-09,2020-01-10,,29786.0,27500.0,CZK,"580/nájem, služby - leden 2020",5164,Nájemné,315,Ministerstvo životního prostředí
020005,,SUCHÁNEK Rostislav,,9,2020-01-09,2020-01-09,2020-01-10,,29786.0,1116.0,CZK,"580/nájem, služby - leden 2020",5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
020005,,SUCHÁNEK Rostislav,,9,2020-01-09,2020-01-09,2020-01-10,,29786.0,1170.0,CZK,"580/nájem, služby - leden 2020",5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
,20/O0023,"TRIADA, spol. s r.o.",43871020,20900005,2020-01-08,2020-01-09,2020-01-22,,4980.0,4980.0,CZK,konference ISSS 20.4.2020,5176,Účastnické poplatky na konference,315,Ministerstvo životního prostředí
020005,,SUCHÁNEK Rostislav,,10,2020-01-09,2020-01-09,2020-01-10,,5000.0,700.0,CZK,"580/záloha na vodu,plyn,el.energii - leden 2020",5151,Studená voda,315,Ministerstvo životního prostředí
020005,,SUCHÁNEK Rostislav,,10,2020-01-09,2020-01-09,2020-01-10,,5000.0,3500.0,CZK,"580/záloha na vodu,plyn,el.energii - leden 2020",5153,Plyn,315,Ministerstvo životního prostředí
020005,,SUCHÁNEK Rostislav,,10,2020-01-09,2020-01-09,2020-01-10,,5000.0,800.0,CZK,"580/záloha na vodu,plyn,el.energii - leden 2020",5154,Elektrická energie,315,Ministerstvo životního prostředí
090021,,Milena Vyvlečková,,11,2020-01-09,2020-01-09,2020-01-10,,1500.0,1500.0,CZK,580/pronájem garážového stání - únor 2020,5164,Nájemné,315,Ministerstvo životního prostředí
190221,,Statutární město Chomutov,00261891,9410000125,2020-01-09,2020-01-09,2020-01-15,,27951.0,9801.0,CZK,"530/el. energie, plyn/Chomutov/záloha 1.Q.2020",5154,Elektrická energie,315,Ministerstvo životního prostředí
190221,,Statutární město Chomutov,00261891,9470000106,2020-01-09,2020-01-09,2020-01-15,,6210.0,6210.0,CZK,530/voda Chomutov/záloha na 1.Q.2020,5151,Studená voda,315,Ministerstvo životního prostředí
190221,,Statutární město Chomutov,00261891,9400000064,2020-01-09,2020-01-09,2020-01-15,,3804.0,3804.0,CZK,530/odvoz odpadu (roční paušální částka) 2020,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
190221,,Statutární město Chomutov,00261891,9410000125,2020-01-09,2020-01-09,2020-01-15,,27951.0,18150.0,CZK,"530/el. energie, plyn/Chomutov/záloha 1.Q.2020",5152,Teplo,315,Ministerstvo životního prostředí
120487,,"DKI Trading, s.r.o.",61852813,28,2020-01-09,2020-01-09,2020-01-10,,5082.0,5082.0,CZK,570/pronájem 2 parkovacích míst I. čtvrtletí 2019,5164,Nájemné,315,Ministerstvo životního prostředí
190221,,Statutární město Chomutov,00261891,9420000478,2020-01-09,2020-01-09,2020-01-15,,140253.25,140253.25,CZK,530/nájemné 1.Q/2020  Chomutov,5164,Nájemné,315,Ministerstvo životního prostředí
190078,,Kamil Vyskočil,76661075,20200001,2020-01-06,2020-01-07,2020-01-27,,2000.0,2000.0,CZK,530/ úklid nebyt. prostor 12/2019  Ústí n.L.,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
970001,,"1 RIF otevřený podílový fond obhospodařovaný AMISTA investiční společnost, a.s.",75160633,100010026,2020-01-01,2020-01-08,2020-01-31,,72449.55,601.53,CZK,530/nájem nebyt. prostor + služby 01/2020 Chom.,5151,Studená voda,315,Ministerstvo životního prostředí
970001,,"1 RIF otevřený podílový fond obhospodařovaný AMISTA investiční společnost, a.s.",75160633,100010026,2020-01-01,2020-01-08,2020-01-31,,72449.55,49876.46,CZK,530/nájem nebyt. prostor + služby 01/2020 Chom.,5164,Nájemné,315,Ministerstvo životního prostředí
970001,,"1 RIF otevřený podílový fond obhospodařovaný AMISTA investiční společnost, a.s.",75160633,100010026,2020-01-01,2020-01-08,2020-01-31,,72449.55,3687.15,CZK,530/nájem nebyt. prostor + služby 01/2020 Chom.,5152,Teplo,315,Ministerstvo životního prostředí
970001,,"1 RIF otevřený podílový fond obhospodařovaný AMISTA investiční společnost, a.s.",75160633,100010026,2020-01-01,2020-01-08,2020-01-31,,72449.55,7260.45,CZK,530/nájem nebyt. prostor + služby 01/2020 Chom.,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
970001,,"1 RIF otevřený podílový fond obhospodařovaný AMISTA investiční společnost, a.s.",75160633,100010026,2020-01-01,2020-01-08,2020-01-31,,72449.55,5006.35,CZK,530/nájem nebyt. prostor + služby 01/2020 Chom.,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
970001,,"1 RIF otevřený podílový fond obhospodařovaný AMISTA investiční společnost, a.s.",75160633,100010026,2020-01-01,2020-01-08,2020-01-31,,72449.55,6017.61,CZK,530/nájem nebyt. prostor + služby 01/2020 Chom.,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
180172,,"První certifikační autorita, a.s.",26439395,200100097,2019-12-31,2020-01-10,2020-02-09,,10725.92,10725.92,CZK,eIDAS služby pečetění 12/2019,5168,Zprac dat a služby související s inf.a komun/MTZ,315,Ministerstvo životního prostředí
,20/O0020,ČESKÝ ROZHLAS,45245053,8861130883,2020-01-10,2020-01-10,2020-01-15,,135.0,135.0,CZK,520/rozhlasové poplatky na I.čtvrtletí 2020,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
160213,,"KONE, a.s.",00176842,800283412,2019-12-31,2020-01-10,2020-01-30,,29221.5,29221.5,CZK,servis a provoz výtahů 4.Q.2019,5169,Nákup ostatních služeb/MTZ,315,Ministerstvo životního prostředí
080057,,"REO, s.r.o.",47543787,190696,2019-12-31,2020-01-10,2020-01-30,,3630.0,3630.0,CZK,poradenství a odvoz odpadů 12/2019,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
080056,,"REO, s.r.o.",47543787,190697,2019-12-31,2020-01-10,2020-01-30,,4840.0,4840.0,CZK,služby os. odborně způsobilé NCHLP 12/2019,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
,,"ASIANA, spol. s r.o.",49704362,10172239,2020-01-07,2020-01-10,2020-01-21,,14569.0,14569.0,CZK,letenka Mach,5173,Cestovné (tuzemské i zahraniční),315,Ministerstvo životního prostředí
,20/O0037,NESS Czech s.r.o.,45786259,19125209,2019-12-31,2020-01-10,2020-01-22,,2691.04,2691.04,CZK,240/Uveřejnění el. formulářů ve Věstníku VZ 12/19,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
,,"ASIANA, spol. s r.o.",49704362,1097220,2020-01-09,2020-01-10,2020-01-23,,53250.0,53250.0,CZK,"ubytování Brojáč, Vlasáková",5173,Cestovné (tuzemské i zahraniční),315,Ministerstvo životního prostředí
,,FRACTAL s.r.o.,63979578,212000355,2020-01-09,2020-01-10,2020-02-08,,4050.0,4050.0,CZK,letenka Sedláčková,5173,Cestovné (tuzemské i zahraniční),315,Ministerstvo životního prostředí
080015,,JEP - servis s.r.o.,25045865,19306,2019-12-31,2020-01-02,2020-01-15,,11268.73,11268.73,CZK,540/Úklid - 12/2019,5169,Nákup ostatních služeb,315,Ministerstvo životního prostředí
170218,,"První certifikační autorita, a.s.",26439395,200100096,2019-12-31,2020-01-10,2020-02-09,,1677.06,1677.06,CZK,Služby certifikační autority 12/2019,5168,Zprac dat a služby související s inf.a komun/MTZ,315,Ministerstvo životního prostředí
,,FRACTAL s.r.o.,63979578,212000432,2020-01-10,2020-01-10,2020-02-09,,13196.0,13196.0,CZK,letenka Udatný,5173,Cestovné (tuzemské i zahraniční),315,Ministerstvo životního prostředí
